pair,month,variant,trades,win_rate,expectancy_r,max_drawdown_r,error
USDCAD,2026-01,composite_default,89,0.29213483146067415,-0.29338562930001255,30.111321007701253,
NZDUSD,2025-11,orb_only,57,0.2631578947368421,-0.3954971588559544,24.543338054789384,
NZDUSD,2025-11,trend_only,94,0.3404255319148936,-0.17200256919524962,20.005272149462304,
NZDUSD,2025-11,pattern_only,117,0.3418803418803419,-0.16409763865063087,23.102295392661812,
NZDUSD,2025-11,composite_default,70,0.3142857142857143,-0.2830185962748323,21.462322828205394,
NZDUSD,2025-12,orb_only,61,0.36065573770491804,-0.09101400203720139,12.999999999999673,
NZDUSD,2025-12,trend_only,99,0.41414141414141414,0.004063931860266795,17.418453697931746,
NZDUSD,2025-12,pattern_only,137,0.4233576642335766,0.007867202756544255,18.698457481139002,
NZDUSD,2025-12,composite_default,78,0.3974358974358974,-0.0006647964650687901,13.499999999999684,
NZDUSD,2026-01,orb_only,58,0.3103448275862069,-0.23648675150524381,16.716231587304527,
NZDUSD,2026-01,trend_only,99,0.48484848484848486,0.1636061363436857,9.67074879325192,
NZDUSD,2026-01,pattern_only,114,0.41228070175438597,-0.004696135037340801,16.11433981300882,
NZDUSD,2026-01,composite_default,73,0.3424657534246575,-0.1541125173974811,16.622123543966953,
